columna,metodo,tn,fp,fn,tp,precision,recall,f1
oficina 3,percentile,6606,61,34,307,0.8342391304347826,0.9002932551319648,0.8660084626234132
oficina 3,mean_std,6665,2,121,220,0.990990990990991,0.6451612903225806,0.7815275310834814
oficina 3,iqr,6667,0,122,219,1.0,0.6422287390029325,0.7821428571428571
oficina 3,mad,5793,874,40,301,0.2561702127659575,0.8826979472140762,0.3970976253298153
