columna,metodo,tn,fp,fn,tp,precision,recall,f1
oficina 2,percentile,6559,99,42,308,0.7567567567567568,0.88,0.8137384412153237
oficina 2,mean_std,6645,13,84,266,0.953405017921147,0.76,0.8457869634340223
oficina 2,iqr,6488,170,56,294,0.6336206896551724,0.84,0.7223587223587223
oficina 2,mad,4384,2274,10,340,0.13006885998469778,0.9714285714285714,0.22941970310391363
