columna,metodo,tn,fp,fn,tp,precision,recall,f1
oficina 8,percentile,6242,418,165,183,0.30449251247920134,0.5258620689655172,0.3856691253951528
oficina 8,mean_std,6660,0,172,176,1.0,0.5057471264367817,0.6717557251908397
oficina 8,iqr,6660,0,171,177,1.0,0.5086206896551724,0.6742857142857143
oficina 8,mad,5333,1327,36,312,0.19035997559487491,0.896551724137931,0.3140412682435833
