columna,metodo,tn,fp,fn,tp,precision,recall,f1
oficina 4,percentile,6539,119,96,254,0.6809651474530831,0.7257142857142858,0.7026279391424619
oficina 4,mean_std,6588,70,109,241,0.77491961414791,0.6885714285714286,0.7291981845688351
oficina 4,iqr,6533,125,61,289,0.6980676328502415,0.8257142857142857,0.756544502617801
oficina 4,mad,5929,729,8,342,0.31932773109243695,0.9771428571428571,0.4813511611541168
