columna,metodo,tn,fp,fn,tp,precision,recall,f1
oficina 9,percentile,6531,127,121,229,0.6432584269662921,0.6542857142857142,0.6487252124645893
oficina 9,mean_std,6588,70,142,208,0.7482014388489209,0.5942857142857143,0.6624203821656051
oficina 9,iqr,6533,125,90,260,0.6753246753246753,0.7428571428571429,0.7074829931972789
oficina 9,mad,4454,2204,6,344,0.13500784929356358,0.9828571428571429,0.23740510697032435
