columna,metodo,tn,fp,fn,tp,precision,recall,f1
oficina 5,percentile,5421,1237,101,249,0.16756393001345896,0.7114285714285714,0.27124183006535946
oficina 5,mean_std,5803,855,128,222,0.20612813370473537,0.6342857142857142,0.31114225648213034
oficina 5,iqr,5493,1165,114,236,0.1684511063526053,0.6742857142857143,0.26956025128498
oficina 5,mad,4571,2087,18,332,0.13724679619677552,0.9485714285714286,0.23979776092452149
